TIMESTAMP,wnd_spd,wnd_spd_max,wnd_spd_min,u_star,wnd_dir_sonic
27-01-15 16,1.968839,1.98783,1.949848,0.3570599,-62.063885
27-01-15 17,0.641544,0.7108608,0.5722272,0.089335555,-112.98505
27-01-15 18,0.86105435,0.8638445,0.8582642,0.10075682,15.9176
27-01-15 19,0.81398205,1.157074,0.4708901,0.064475845,-124.8393
27-01-15 20,1.2657575,1.29466,1.236855,0.07822045,-102.151905
27-01-15 21,1.7643495,1.862247,1.666452,0.22422665,-136.23425
27-01-15 22,2.2427,2.382151,2.103249,0.3735896,-129.9409
27-01-15 23,2.258736,2.341624,2.175848,0.3839678,-116.00675
27-02-15 00,2.754986,2.808003,2.701969,0.45935875,115.56655
27-02-15 01,2.536575,2.712386,2.360764,0.3803847,124.07205
27-02-15 02,2.579815,2.939903,2.219727,0.4447625,130.38768
27-02-15 03,3.2787365,3.784996,2.772477,0.5727177,163.4306
27-02-15 04,2.0065275,2.180208,1.832847,0.52153185,-159.09015
27-02-15 05,1.643039,1.812663,1.473415,0.30619115,-111.2631
27-02-15 06,2.118981,2.62316,1.614802,0.3513743,-103.01165
27-02-15 07,1.1710632,1.375279,0.9668474,0.144873805,127.43005
27-02-15 08,1.849035,2.256255,1.441815,0.2971864,89.393835
27-02-15 09,1.5809035,1.689978,1.471829,0.29551615,81.286
27-02-15 10,1.6625985,1.69275,1.632447,0.3279042,51.37157
27-02-15 11,2.179062,2.286921,2.071203,0.42717795,51.30322
27-02-15 12,2.098406,2.381999,1.814813,0.41776085,88.67286
27-02-15 13,2.135986,2.325526,1.946446,0.38812375,113.33445
27-02-15 14,2.3142895,2.6209,2.007679,0.46016385,88.185925
27-02-15 15,1.8626035,1.875029,1.850178,0.40653095,78.089515
27-02-15 16,2.5171735,2.530507,2.50384,0.47809755,89.789145
27-02-15 17,1.926039,2.127336,1.724742,0.3638926,75.37606
27-02-15 18,0.9194639,1.302348,0.5365798,0.13762106,19.316975
27-02-15 19,0.8849289,0.9316266,0.8382312,0.032650695,-95.907775
27-02-15 20,0.8813324,1.030112,0.7325528,0.0506556,-112.76995
27-02-15 21,0.99544265,1.135667,0.8552183,0.09928956,-112.23425
27-02-15 22,0.99995265,1.076145,0.9237603,0.080649845,-122.3583
27-02-15 23,1.1025672,1.22962,0.9755144,0.06619639,-87.788705
27-03-15 00,1.192194,1.295437,1.088951,0.08121893,161.64165
27-03-15 01,1.191882,1.233452,1.150312,0.1016327,-166.84655
27-03-15 02,0.9842976,1.219968,0.7486272,0.10057149,-104.873265
27-03-15 03,0.57056525,0.6954796,0.4456509,0.035603515,102.350105
27-03-15 04,0.87254245,1.107427,0.6376579,0.071655135,144.853
27-03-15 05,0.52116485,0.5290637,0.513266,0.079348795,-126.2849
27-03-15 06,0.52759475,0.6025106,0.4526789,0.061193145,-159.34925
27-03-15 07,0.63861945,0.6995546,0.5776843,0.10496755,-48.18082
27-03-15 08,0.8481357,0.8742875,0.8219839,0.20682145,129.9106
27-03-15 09,1.233772,1.414695,1.052849,0.21494715,51.4109
27-03-15 10,1.7949125,2.262707,1.327118,0.3269549,6.6907
27-03-15 11,1.4450405,1.854508,1.035573,0.2289803,144.10885
27-03-15 12,1.9642735,3.055688,0.872859,0.37250795,31.53685
27-03-15 13,1.5025795,1.649159,1.356,0.2192565,119.0132
27-03-15 14,1.1806215,1.361976,0.999267,0.107111905,124.7806
27-03-15 15,0.6680496,0.6782964,0.6578028,0.07425607,-8.2731
